metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank,matched_biomarker,Condiciones,Evidencia,Origen_probable,Confianza_origen,Vinculo Microbio.,Volatilidad,Matriz,Flag_contaminante,match_score
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0038298840254395,27.0,4.355557780399061,-8.29279377181958,0.0092096816039681,4.355557780399061,14.0,0.0355087794495927,1.4496642555332737,46.5,29.166666666666668,18,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
Benzeneacetaldehyde,0.0045103730111573,16.0,3.2409139496755874,-22.465035688046047,0.0077418770248466,3.2409139496755874,25.0,0.0355087794495927,1.4496642555332737,46.5,29.166666666666668,19,Benzeneacetaldehyde,Esquiz.,unknown,Ambiente/limpieza,Media,Posible,VOC,fecal,Posible_contaminante,1.0
Benzeneacetaldehyde,0.0045103730111573,16.0,2.88819784815039,-8.549817546032552,0.0077418770248466,2.88819784815039,27.0,0.0355087794495927,1.4496642555332737,46.5,29.833333333333332,20,Benzeneacetaldehyde,Esquiz.,unknown,Ambiente/limpieza,Media,Posible,VOC,fecal,Posible_contaminante,1.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0045730257878916,15.0,2.7164025471651705,-1.667789390349652,0.0092096816039681,2.7164025471651705,28.0,0.0355087794495927,1.4496642555332737,46.5,29.833333333333332,21,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
Benzeneacetaldehyde,0.0041733411660864,23.0,3.684206008676468,-895010023.9333483,0.0077418770248466,3.684206008676468,21.0,0.0355087794495927,1.4496642555332737,46.5,30.166666666666668,22,Benzeneacetaldehyde,Esquiz.,unknown,Ambiente/limpieza,Media,Posible,VOC,fecal,Posible_contaminante,1.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0031469785575048,39.0,4.982334908709596,28.786273900680214,0.0092096816039681,4.982334908709596,6.0,0.0355087794495927,1.4496642555332737,46.5,30.5,23,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0031469785575048,39.0,4.709186813399669,-12.01158705359276,0.0092096816039681,4.709186813399669,8.0,0.0355087794495927,1.4496642555332737,46.5,31.166666666666668,24,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
Benzeneacetaldehyde,0.0041733411660864,23.0,3.2409139496755874,-22.465035688046047,0.0077418770248466,3.2409139496755874,25.0,0.0355087794495927,1.4496642555332737,46.5,31.5,25,Benzeneacetaldehyde,Esquiz.,unknown,Ambiente/limpieza,Media,Posible,VOC,fecal,Posible_contaminante,1.0
Benzeneacetaldehyde,0.0041733411660864,23.0,2.88819784815039,-8.549817546032552,0.0077418770248466,2.88819784815039,27.0,0.0355087794495927,1.4496642555332737,46.5,32.166666666666664,26,Benzeneacetaldehyde,Esquiz.,unknown,Ambiente/limpieza,Media,Posible,VOC,fecal,Posible_contaminante,1.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0031469785575048,39.0,4.404983638464362,28.1668385892178,0.0092096816039681,4.404983638464362,13.0,0.0355087794495927,1.4496642555332737,46.5,32.833333333333336,27,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
p-Cresol,0.0035460342213558,29.0,3.307008353663316,-1.2566822255260586,0.0081275154892922,3.307008353663316,24.0,0.0355087794495927,1.4496642555332737,46.5,33.166666666666664,28,p-cresol,AutismBipolarDepres.Esquiz.,dataset_metabolomics text_mining_claim,Biológico microbiano,Alta,Si,Mixto,csf fecal fecal; bile fecal; serum fecal; serum; bile fecal; serum; tissue fecal; tissue fecal; tissue; bile plasma plasma; serum serum serum; bile tissue unknown,No,1.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0031469785575048,39.0,4.355557780399061,-8.29279377181958,0.0092096816039681,4.355557780399061,14.0,0.0355087794495927,1.4496642555332737,46.5,33.166666666666664,29,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",0.0038298840254395,27.0,2.7164025471651705,-1.667789390349652,0.0092096816039681,2.7164025471651705,28.0,0.0355087794495927,1.4496642555332737,46.5,33.833333333333336,30,"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",Esquiz.,unknown,Biológico microbiano,Alta,Si,VOC,fecal,No,1.0
